#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
V,xorg-minimal,"is the graphical server."
V,xorg-fonts,"is a font package."
V,libX11-devel,"is required for the compilation of some programs."
V,libXinerama-devel,"is required for the compilation of some programs."
V,libXft-devel,"is required for the compilation of some programs."
V,libEGL,"is required for the compilation of some programs."
V,xf86-video-amdgpu,"is the graphics-driver"
,sxhkd,"binds keys."
V,font-inconsolata-otf,"is the monospace font of LARBS."
V,font-libertine-otf,"provides the sans and serif fonts for LARBS."
,xcompmgr,"is for transparency and removing screen-tearing."
,xwallpaper,"sets the wallpaper."
,htop,"is the task-manager"
V,man-pages-devel,"are all man pages for c"
V,man-pages-posix,"are all posix application man pages"
,neovim,"a tidier vim with some useful features"
,unclutter,"hides an inactive mouse."
V,unclutter-xfixes,"hides an inactive mouse."
,xclip,"allows for copying and pasting from the command line."
,zsh,"LARBS shell."
,zsh-syntax-highlighting,"provides fish-like syntax highlighting in the shell."
V,xsetroot,"sets status bar and other X properies."
V,xset,"allows speeding up the X rate."
V,simple-mtpfs,"enables the mounting of cell phones."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
V,dbus,"facilitates inter-process-communication."
,gcr-devel," is needed for the notification-daemon"
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/skywalker1807/dwm.git,"is the window manager."
G,https://github.com/LukeSmithxyz/st.git,"is Luke's custom build of suckless's terminal emulator."
G,https://github.com/clamiax/snore.git,"simple visual Timer used for pomodoro"
